Date,Temp,Hum,Light,Is_Raining,Will_Rain
2023-04-10 10:54,27300,80000,2880,NO,NO
2023-04-10 10:56,27300,80000,2887,NO,NO
2023-04-10 10:58,27300,80000,2898,NO,NO
2023-04-10 11:16,28800,78500,610,NO,NO
2023-04-10 11:18,28600,79100,606,NO,NO
2023-04-10 11:20,28600,80100,601,NO,NO
2023-04-10 11:22,28600,79800,607,NO,NO
2023-04-10 11:24,28600,80000,603,NO,NO
2023-04-10 11:26,28600,80600,603,NO,NO
2023-04-10 11:28,28600,80000,592,NO,NO
2023-04-10 11:30,28600,78800,597,NO,NO
2023-04-10 11:32,28600,80000,603,NO,NO
2023-04-10 11:34,28700,80000,586,NO,NO
2023-04-10 11:36,28600,79500,585,NO,NO
2023-04-10 11:38,28700,79300,596,NO,NO
2023-04-10 11:40,28700,78600,609,NO,NO
2023-04-10 11:42,28700,78800,597,NO,NO
2023-04-10 11:44,28700,83800,603,NO,NO
2023-04-10 11:46,28700,81000,595,NO,NO
2023-04-10 11:50,28700,79100,607,NO,NO
2023-04-10 11:52,28700,79000,608,NO,NO
2023-04-10 11:54,28700,78300,611,NO,NO
2023-04-10 11:56,28800,78100,625,NO,NO
2023-04-10 11:58,28800,77800,659,NO,NO
2023-04-10 12:00,28800,77300,672,NO,NO
2023-04-10 12:02,28700,77400,723,NO,NO
2023-04-10 12:04,28700,77400,826,NO,NO
2023-04-10 12:06,28700,78000,969,NO,NO
2023-04-10 12:08,28700,77900,1202,NO,NO
2023-04-10 12:10,28500,77900,1190,NO,NO
2023-04-10 12:12,28400,77900,1170,NO,NO
2023-04-10 12:14,28400,78100,850,NO,NO
2023-04-10 12:16,28200,78100,763,NO,NO
2023-04-10 12:18,28400,77600,723,NO,NO
2023-04-10 12:20,28400,77600,700,NO,NO
2023-04-10 12:22,28400,77400,647,NO,NO
2023-04-10 12:24,28400,77100,653,NO,NO
2023-04-10 12:26,28500,76800,654,NO,NO
2023-04-10 12:28,28500,76700,654,NO,NO
2023-04-10 12:30,28600,76700,658,NO,NO
2023-04-10 12:32,28700,77100,592,NO,NO
2023-04-10 12:34,28800,76700,578,NO,NO
2023-04-10 12:36,28900,76400,557,NO,NO
2023-04-10 12:38,29100,75800,564,NO,NO
2023-04-10 12:40,29200,75300,578,NO,NO
2023-04-10 12:42,29300,75400,580,NO,NO
2023-04-10 12:44,29400,75200,563,NO,NO
2023-04-10 12:46,29500,74500,567,NO,NO
2023-04-10 12:48,29500,75100,565,NO,NO
